"year","state","road_user_group","Sum(cases)","Sum(bed_days)"
"2017","Tas","Pedal cyclist",107,626
"2017","Tas","Pedestrian",34,313
"2017","Vic","Driver",5528,28924
"2017","Vic","Driver/passenger",126,764
"2017","Vic","Motorcyclist",1979,13406
"2017","Vic","Other/unknown",286,2068
"2017","Vic","Pedal cyclist",2089,6055
"2017","Vic","Pedestrian",786,12837
"2017","WA","Driver",1277,9231
"2017","WA","Driver/passenger",29,172
"2017","WA","Motorcyclist",931,5439
"2017","WA","Other/unknown",127,696
"2017","WA","Pedal cyclist",637,1746
"2017","WA","Pedestrian",194,1876
"2018","ACT","Driver",287,1210
"2018","ACT","Driver/passenger",0,0
"2018","ACT","Motorcyclist",161,1023
"2018","ACT","Other/unknown",9,41
"2018","ACT","Pedal cyclist",217,399
"2018","ACT","Pedestrian",24,228
"2018","NSW","Driver",4469,26020
"2018","NSW","Driver/passenger",151,1476
"2018","NSW","Motorcyclist",2347,14941
"2018","NSW","Other/unknown",323,2006
"2018","NSW","Pedal cyclist",1681,5765
"2018","NSW","Pedestrian",823,9316
"2018","NT","Driver",488,3073
"2018","NT","Driver/passenger",0,0
"2018","NT","Motorcyclist",169,1028
"2018","NT","Other/unknown",14,198
"2018","NT","Pedal cyclist",71,244
"2018","NT","Pedestrian",73,584
"2018","Qld","Driver",4823,18616
"2018","Qld","Driver/passenger",163,937
"2018","Qld","Motorcyclist",2320,10780
"2018","Qld","Other/unknown",237,1353
"2018","Qld","Pedal cyclist",1408,4045
"2018","Qld","Pedestrian",430,3108
"2018","SA","Driver",1190,5760
"2018","SA","Driver/passenger",20,195
"2018","SA","Motorcyclist",559,3160
"2018","SA","Other/unknown",68,492
"2018","SA","Pedal cyclist",496,1716
"2018","SA","Pedestrian",148,1288
"2018","Tas","Driver",404,2258
"2018","Tas","Driver/passenger",8,82
"2018","Tas","Motorcyclist",171,936
"2018","Tas","Other/unknown",20,177
"2018","Tas","Pedal cyclist",109,340
"2018","Tas","Pedestrian",59,765
"2018","Vic","Driver",6099,31404
"2018","Vic","Driver/passenger",143,633
"2018","Vic","Motorcyclist",1944,14361
"2018","Vic","Other/unknown",293,2459
"2018","Vic","Pedal cyclist",2144,6179
"2018","Vic","Pedestrian",830,8808
"2018","WA","Driver",1485,6987
"2018","WA","Driver/passenger",46,157
"2018","WA","Motorcyclist",788,4155
"2018","WA","Other/unknown",101,515
"2018","WA","Pedal cyclist",665,1678
"2018","WA","Pedestrian",189,1588
"2019","ACT","Driver",279,1077
"2019","ACT","Driver/passenger",0,0
"2019","ACT","Motorcyclist",136,908
"2019","ACT","Other/unknown",0,0
"2019","ACT","Pedal cyclist",218,664
"2019","ACT","Pedestrian",22,114
"2019","NSW","Driver",4397,26054
"2019","NSW","Driver/passenger",127,1080
"2019","NSW","Motorcyclist",2565,16854
"2019","NSW","Other/unknown",317,2610
"2019","NSW","Pedal cyclist",1678,5724
"2019","NSW","Pedestrian",858,10676
"2019","NT","Driver",347,1866
"2019","NT","Driver/passenger",0,0
"2019","NT","Motorcyclist",153,780
"2019","NT","Other/unknown",24,270
"2019","NT","Pedal cyclist",84,420
"2019","NT","Pedestrian",38,409
"2019","Qld","Driver",4829,17647
"2019","Qld","Driver/passenger",165,841
"2019","Qld","Motorcyclist",2322,12608
"2019","Qld","Other/unknown",224,1133
"2019","Qld","Pedal cyclist",1531,4242
"2019","Qld","Pedestrian",444,3718
"2019","SA","Driver",1075,5062
"2019","SA","Driver/passenger",44,82
"2019","SA","Motorcyclist",562,2306
"2019","SA","Other/unknown",46,334
"2019","SA","Pedal cyclist",526,1563
"2019","SA","Pedestrian",167,1342
"2019","Tas","Driver",344,1756
"2019","Tas","Driver/passenger",9,149
"2019","Tas","Motorcyclist",148,1026
"2019","Tas","Other/unknown",11,105
"2019","Tas","Pedal cyclist",121,252
"2019","Tas","Pedestrian",53,508
"2019","Vic","Driver",5996,28974
"2019","Vic","Driver/passenger",122,900
"2019","Vic","Motorcyclist",1939,13405
"2019","Vic","Other/unknown",305,1573
"2019","Vic","Pedal cyclist",2215,7341
"2019","Vic","Pedestrian",815,8816
"2019","WA","Driver",1540,7575
"2019","WA","Driver/passenger",40,340
"2019","WA","Motorcyclist",886,5169
"2019","WA","Other/unknown",106,528
"2019","WA","Pedal cyclist",735,2243
"2019","WA","Pedestrian",227,1967
"2020","ACT","Driver",230,1251
"2020","ACT","Driver/passenger",0,0
"2020","ACT","Motorcyclist",142,554
"2020","ACT","Other/unknown",12,115
"2020","ACT","Pedal cyclist",223,512
"2020","ACT","Pedestrian",14,68
"2020","NSW","Driver",3924,23971
"2020","NSW","Driver/passenger",125,780
"2020","NSW","Motorcyclist",2335,15262
"2020","NSW","Other/unknown",280,2277
"2020","NSW","Pedal cyclist",1950,7366
"2020","NSW","Pedestrian",660,8715
"2020","NT","Driver",385,1815
"2020","NT","Driver/passenger",6,19
"2020","NT","Motorcyclist",195,647
"2020","NT","Other/unknown",23,110
"2020","NT","Pedal cyclist",108,265
"2020","NT","Pedestrian",56,530
"2020","Qld","Driver",4836,16554
"2020","Qld","Driver/passenger",171,1029
"2020","Qld","Motorcyclist",2447,11306
"2020","Qld","Other/unknown",249,1219
"2020","Qld","Pedal cyclist",1684,4710
"2020","Qld","Pedestrian",414,3032
"2020","SA","Driver",1089,5935
"2020","SA","Driver/passenger",29,139
"2020","SA","Motorcyclist",583,2964
"2020","SA","Other/unknown",78,249
"2020","SA","Pedal cyclist",593,1763
"2020","SA","Pedestrian",131,1130
"2020","Tas","Driver",378,1939
"2020","Tas","Driver/passenger",0,0
"2020","Tas","Motorcyclist",192,717
"2020","Tas","Other/unknown",19,60
"2020","Tas","Pedal cyclist",133,335
"2020","Tas","Pedestrian",36,286
"2020","Vic","Driver",4661,23007
"2020","Vic","Driver/passenger",103,824
"2020","Vic","Motorcyclist",1682,9858
"2020","Vic","Other/unknown",235,1365
"2020","Vic","Pedal cyclist",2645,6669
"2020","Vic","Pedestrian",558,6214
"2020","WA","Driver",1498,8650
"2020","WA","Driver/passenger",44,191
"2020","WA","Motorcyclist",949,5912
"2020","WA","Other/unknown",128,444
"2020","WA","Pedal cyclist",834,2464
"2020","WA","Pedestrian",183,1127
"2021","ACT","Driver",234,1037
"2021","ACT","Motorcyclist",144,541
"2021","ACT","Other/unknown",0,0
"2021","ACT","Pedal cyclist",333,964
"2021","ACT","Pedestrian",22,190
"2021","NSW","Driver",3669,23489
"2021","NSW","Driver/passenger",103,690
"2021","NSW","Motorcyclist",2253,13985
"2021","NSW","Other/unknown",287,2103
"2021","NSW","Pedal cyclist",2042,7091
"2021","NSW","Pedestrian",649,7740
"2021","NT","Driver",362,2518
"2021","NT","Driver/passenger",0,0
"2021","NT","Motorcyclist",157,640
"2021","NT","Other/unknown",22,149
"2021","NT","Pedal cyclist",92,215
"2021","NT","Pedestrian",58,383
"2021","Qld","Driver",5471,18802
"2021","Qld","Driver/passenger",144,634
"2021","Qld","Motorcyclist",2598,12076
"2021","Qld","Other/unknown",282,1410
"2021","Qld","Pedal cyclist",1504,4776
"2021","Qld","Pedestrian",448,3191
"2021","SA","Driver",1231,5579
"2021","SA","Driver/passenger",26,85
"2021","SA","Motorcyclist",556,2594
"2021","SA","Other/unknown",70,271
"2021","SA","Pedal cyclist",577,1813
"2021","SA","Pedestrian",172,1510
"2021","Tas","Driver",399,2749
"2021","Tas","Driver/passenger",0,0
"2021","Tas","Motorcyclist",198,1116
"2021","Tas","Other/unknown",21,58
"2021","Tas","Pedal cyclist",118,687
"2021","Tas","Pedestrian",46,202
"2021","Vic","Driver",5402,24726
"2021","Vic","Driver/passenger",136,1206
"2021","Vic","Motorcyclist",1967,11727
"2021","Vic","Other/unknown",248,1837
"2021","Vic","Pedal cyclist",2695,7881
"2021","Vic","Pedestrian",682,7322
"2021","WA","Driver",1579,9940
"2021","WA","Driver/passenger",47,163
"2021","WA","Motorcyclist",882,6581
"2021","WA","Other/unknown",136,777
"2021","WA","Pedal cyclist",704,3024
"2021","WA","Pedestrian",220,1803
