"year","age_group","sex","road_user","Sum(hospitalisations)","Sum(cases)","Mean(bed_days)","Sum(died_cases)"
2012,"0-7","Male","Pick-up truck or van occupant",2,2,1,0
2012,"17-25","Female","Bus occupant",6,6,2,0
2012,"17-25","Female","Car driver",1267,1272,25,5
2012,"17-25","Female","Car passenger",607,609,17,2
2012,"17-25","Female","Car unknown position",95,95,3,0
2012,"17-25","Female","Heavy transport driver",1,1,2,0
2012,"17-25","Female","Heavy transport passenger",1,1,3,0
2012,"17-25","Female","Motorcyclist",171,172,7,1
2012,"17-25","Female","Other or unknown",42,42,9,0
2012,"17-25","Female","Pedal cyclist",118,118,4,0
2012,"17-25","Female","Pedestrian",173,174,20,1
2012,"17-25","Female","Pick-up truck or van occupant",9,9,3,0
2012,"17-25","Male","Bus occupant",5,5,8,0
2012,"17-25","Male","Car driver",1490,1499,41,9
2012,"17-25","Male","Car passenger",697,705,27,8
2012,"17-25","Male","Car unknown position",160,160,9,0
2012,"17-25","Male","Heavy transport driver",26,26,3,0
2012,"17-25","Male","Heavy transport passenger",13,13,2,0
2012,"17-25","Male","Heavy transport unknown position",4,4,1,0
2012,"17-25","Male","Motorcyclist",1876,1888,44,12
2012,"17-25","Male","Other or unknown",74,74,10,0
2012,"17-25","Male","Pedal cyclist",586,586,12,0
2012,"17-25","Male","Pedestrian",301,308,23,7
2012,"17-25","Male","Pick-up truck or van occupant",62,63,6,1
2012,"26-39","Female","Bus occupant",15,15,6,0
2012,"26-39","Female","Car driver",1201,1206,28,5
2012,"26-39","Female","Car passenger",437,438,13,1
2012,"26-39","Female","Car unknown position",84,85,4,1
2012,"26-39","Female","Heavy transport driver",4,4,1,0
2012,"26-39","Female","Heavy transport passenger",2,2,5,0
2012,"26-39","Female","Motorcyclist",190,191,11,1
2012,"26-39","Female","Other or unknown",35,35,5,0
2012,"26-39","Female","Pedal cyclist",283,283,8,0
2012,"26-39","Female","Pedestrian",188,189,24,1
2012,"26-39","Female","Pick-up truck or van occupant",15,15,12,0
2012,"26-39","Male","Bus occupant",12,12,5,0
2012,"26-39","Male","Car driver",1481,1491,41,10
2012,"26-39","Male","Car passenger",387,390,18,3
2012,"26-39","Male","Car unknown position",113,114,7,1
2012,"26-39","Male","Heavy transport driver",125,125,10,0
2012,"26-39","Male","Heavy transport passenger",9,9,7,0
2012,"26-39","Male","Heavy transport unknown position",14,14,5,0
2012,"26-39","Male","Motorcyclist",2014,2024,52,10
2012,"26-39","Male","Other or unknown",76,76,11,0
2012,"26-39","Male","Pedal cyclist",1010,1011,18,1
2012,"26-39","Male","Pedestrian",305,307,29,2
2012,"26-39","Male","Pick-up truck or van occupant",43,43,4,0
2012,"40-64","Female","Bus occupant",31,31,3,0
2012,"40-64","Female","Car driver",1639,1643,47,4
2012,"40-64","Female","Car passenger",576,579,20,3
2012,"40-64","Female","Car unknown position",116,117,11,1
2012,"40-64","Female","Heavy transport driver",8,8,2,0
2012,"40-64","Female","Heavy transport passenger",5,5,1,0
2012,"40-64","Female","Heavy transport unknown position",5,5,2,0
2012,"40-64","Female","Motorcyclist",305,305,19,0
2012,"40-64","Female","Other or unknown",72,72,8,0
2012,"40-64","Female","Pedal cyclist",442,443,12,1
2012,"40-64","Female","Pedestrian",277,279,32,2
2012,"40-64","Female","Pick-up truck or van occupant",18,18,9,0
2012,"40-64","Male","Bus occupant",32,32,4,0
2012,"40-64","Male","Car driver",1728,1741,51,13
2012,"40-64","Male","Car passenger",297,299,14,2
2012,"40-64","Male","Car unknown position",138,138,9,0
2012,"40-64","Male","Heavy transport driver",227,228,13,1
2012,"40-64","Male","Heavy transport passenger",10,10,9,0
2012,"40-64","Male","Heavy transport unknown position",23,23,5,0
2012,"40-64","Male","Motorcyclist",2359,2377,68,18
2012,"40-64","Male","Other or unknown",114,114,14,0
2012,"40-64","Male","Pedal cyclist",1691,1695,33,4
2012,"40-64","Male","Pedestrian",354,359,37,5
2012,"40-64","Male","Pick-up truck or van occupant",81,84,6,3
2012,"65-74","Female","Bus occupant",16,16,5,0
2012,"65-74","Female","Car driver",395,396,23,1
2012,"65-74","Female","Car passenger",219,224,14,5
2012,"65-74","Female","Car unknown position",42,42,7,0
2012,"65-74","Female","Motorcyclist",13,13,13,0
2012,"65-74","Female","Other or unknown",8,8,7,0
2012,"65-74","Female","Pedal cyclist",72,72,8,0
2012,"65-74","Female","Pedestrian",108,113,32,5
2012,"65-74","Female","Pick-up truck or van occupant",5,5,2,0
2012,"65-74","Male","Bus occupant",6,6,2,0
